subject,target,stimulus,frequency,power,accuracy,group
3,130,130,129.4605809128631,2.1267778318930786,0.8042331161939004,low
3,200,130,129.4605809128631,7.821448712700687,0.8042331161939004,low
3,280,130,129.4605809128631,6.387436767956722,0.8042331161939004,low
4,130,130,129.4605809128631,3.763497968489817,0.9614234764094708,high
4,200,130,129.4605809128631,4.520233353234443,0.9614234764094708,high
4,280,130,129.4605809128631,6.921040695637811,0.9614234764094708,high
5,130,130,129.4605809128631,4.189098306479449,0.9125820922570148,low
5,200,130,129.4605809128631,8.225471413058717,0.9125820922570148,low
5,280,130,129.4605809128631,9.137466420172586,0.9125820922570148,low
6,130,130,129.4605809128631,3.5915593671189256,0.9520805891639222,high
6,200,130,129.4605809128631,3.0567684448247148,0.9520805891639222,high
6,280,130,129.4605809128631,-1.728433296130876,0.9520805891639222,high
7,130,130,129.4605809128631,-2.1807617209493992,0.9157180383160772,low
7,200,130,129.4605809128631,5.7926975229944455,0.9157180383160772,low
7,280,130,129.4605809128631,5.090102808664756,0.9157180383160772,low
8,130,130,129.4605809128631,6.422470790110233,0.9859718984718984,high
8,200,130,129.4605809128631,0.6789167832281694,0.9859718984718984,high
8,280,130,129.4605809128631,0.0601734851496729,0.9859718984718984,high
9,130,130,129.4605809128631,5.45605000661411,0.9233681568975683,high
9,200,130,129.4605809128631,2.2195967265731418,0.9233681568975683,high
9,280,130,129.4605809128631,6.578657105195953,0.9233681568975683,high
10,130,130,129.4605809128631,-0.0011967874998219,0.9678164428164427,high
10,200,130,129.4605809128631,1.8253096660628825,0.9678164428164427,high
10,280,130,129.4605809128631,2.3251192558810945,0.9678164428164427,high
11,130,130,129.4605809128631,1.2182755421353553,0.9563091383924714,high
11,200,130,129.4605809128631,7.670223226229917,0.9563091383924714,high
11,280,130,129.4605809128631,9.825419916270748,0.9563091383924714,high
12,130,130,129.4605809128631,-2.712356923922243,0.9752415023248354,high
12,200,130,129.4605809128631,-4.76523116200944,0.9752415023248354,high
12,280,130,129.4605809128631,-2.583893723154264,0.9752415023248354,high
13,130,130,129.4605809128631,1.4852512237465676,0.8184371984439709,low
13,200,130,129.4605809128631,-2.9947161201311605,0.8184371984439709,low
13,280,130,129.4605809128631,-0.5566763328844386,0.8184371984439709,low
14,130,130,129.4605809128631,-2.481898968383153,0.8897738283165696,low
14,200,130,129.4605809128631,2.693887337416085,0.8897738283165696,low
14,280,130,129.4605809128631,4.681891288422918,0.8897738283165696,low
15,130,130,129.4605809128631,1.31282635862825,0.9481134297800962,high
15,200,130,129.4605809128631,0.5349629477898331,0.9481134297800962,high
15,280,130,129.4605809128631,1.3120577327800174,0.9481134297800962,high
16,130,130,129.4605809128631,0.5780949952471709,0.907325044236809,low
16,200,130,129.4605809128631,-0.2568342412512059,0.907325044236809,low
16,280,130,129.4605809128631,-1.0111035136966022,0.907325044236809,low
18,130,130,129.4605809128631,-0.944202904656048,0.778067758470572,low
18,200,130,129.4605809128631,0.788437270854962,0.778067758470572,low
18,280,130,129.4605809128631,4.074583880496785,0.778067758470572,low
19,130,130,129.4605809128631,-0.1914949510414962,0.9595211297417175,high
19,200,130,129.4605809128631,3.1747156056473096,0.9595211297417175,high
19,280,130,129.4605809128631,-1.6851579316757128,0.9595211297417175,high
20,130,130,129.4605809128631,-2.999662229971901,0.93849890396459,high
20,200,130,129.4605809128631,1.197895573648745,0.93849890396459,high
20,280,130,129.4605809128631,1.6292175619849854,0.93849890396459,high
21,130,130,129.4605809128631,5.295524505640511,0.903758227409113,low
21,200,130,129.4605809128631,8.310120046273138,0.903758227409113,low
21,280,130,129.4605809128631,8.944075812410768,0.903758227409113,low
22,130,130,129.4605809128631,2.462392270237394,0.9650264459578184,high
22,200,130,129.4605809128631,0.3410738427849191,0.9650264459578184,high
22,280,130,129.4605809128631,2.059793130415659,0.9650264459578184,high
23,130,130,129.4605809128631,6.966610869853357,0.8232399494186772,low
23,200,130,129.4605809128631,8.336275685377913,0.8232399494186772,low
23,280,130,129.4605809128631,9.251013078195836,0.8232399494186772,low
24,130,130,129.4605809128631,-3.271387461767709,0.868514173305195,low
24,200,130,129.4605809128631,1.8036914673137083,0.868514173305195,low
24,280,130,129.4605809128631,0.6227830966519886,0.868514173305195,low
25,130,130,129.4605809128631,1.5822710198767356,0.934331025728084,high
25,200,130,129.4605809128631,0.3684888186795326,0.934331025728084,high
25,280,130,129.4605809128631,0.4379230844018424,0.934331025728084,high
26,130,130,129.4605809128631,2.9337088028814264,0.9948753021669688,high
26,200,130,129.4605809128631,-3.231448654463727,0.9948753021669688,high
26,280,130,129.4605809128631,3.739363714132622,0.9948753021669688,high
27,130,130,129.4605809128631,-0.4723461734057527,0.7645413139253437,low
27,200,130,129.4605809128631,4.3036558429198815,0.7645413139253437,low
27,280,130,129.4605809128631,1.232736415542634,0.7645413139253437,low
28,130,130,129.4605809128631,-2.285150646451495,0.834836883795217,low
28,200,130,129.4605809128631,-1.6961142125811008,0.834836883795217,low
28,280,130,129.4605809128631,-1.8687601721804747,0.834836883795217,low
29,130,130,129.4605809128631,0.4696858062297659,0.940671543893938,high
29,200,130,129.4605809128631,-1.6685683563865206,0.940671543893938,high
29,280,130,129.4605809128631,-1.0840546697681352,0.940671543893938,high
30,130,130,129.4605809128631,1.3323450491787137,0.975931965876496,high
30,200,130,129.4605809128631,2.8731998226589823,0.975931965876496,high
30,280,130,129.4605809128631,1.6175824172674464,0.975931965876496,high
31,130,130,129.4605809128631,-0.4044823725810295,0.9293957757928348,high
31,200,130,129.4605809128631,1.7922275681477418,0.9293957757928348,high
31,280,130,129.4605809128631,-2.0729262370138137,0.9293957757928348,high
