sub,target,stimulus,frequency,power,accuracy,group,plv
3,130,130,129.4605809128631,2.1267778318930786,0.8042331161939004,low,0.06718625881093948
3,200,130,129.4605809128631,7.821448712700687,0.8042331161939004,low,0.06420214302146235
3,280,130,129.4605809128631,6.387436767956722,0.8042331161939004,low,0.08870696850065211
4,130,130,129.4605809128631,3.763497968489817,0.9614234764094708,high,0.07269852070104436
4,200,130,129.4605809128631,4.520233353234443,0.9614234764094708,high,0.10927003267115086
4,280,130,129.4605809128631,6.921040695637811,0.9614234764094708,high,0.10574867263153305
5,130,130,129.4605809128631,4.189098306479449,0.9125820922570148,low,0.04961190764442438
5,200,130,129.4605809128631,8.225471413058717,0.9125820922570148,low,0.04456920258736284
5,280,130,129.4605809128631,9.137466420172586,0.9125820922570148,low,0.047005559760906535
6,130,130,129.4605809128631,3.5915593671189256,0.9520805891639222,high,0.04718158373314139
6,200,130,129.4605809128631,3.0567684448247148,0.9520805891639222,high,0.0428422675958885
6,280,130,129.4605809128631,-1.728433296130876,0.9520805891639222,high,0.0605460773490053
7,130,130,129.4605809128631,-2.1807617209493992,0.9157180383160772,low,0.06115714158468091
7,200,130,129.4605809128631,5.7926975229944455,0.9157180383160772,low,0.04390821229698421
7,280,130,129.4605809128631,5.090102808664756,0.9157180383160772,low,0.051722943319949026
8,130,130,129.4605809128631,6.422470790110233,0.9859718984718984,high,0.051508777403882024
8,200,130,129.4605809128631,0.6789167832281694,0.9859718984718984,high,0.07214903355338592
8,280,130,129.4605809128631,0.0601734851496729,0.9859718984718984,high,0.05671050722911383
9,130,130,129.4605809128631,5.45605000661411,0.9233681568975683,high,0.06663430727347071
9,200,130,129.4605809128631,2.2195967265731418,0.9233681568975683,high,0.051191708868527454
9,280,130,129.4605809128631,6.578657105195953,0.9233681568975683,high,0.05823348757111264
10,130,130,129.4605809128631,-0.0011967874998219,0.9678164428164427,high,0.05267893375480216
10,200,130,129.4605809128631,1.8253096660628825,0.9678164428164427,high,0.06362960644200044
10,280,130,129.4605809128631,2.3251192558810945,0.9678164428164427,high,0.04477394001341851
11,130,130,129.4605809128631,1.2182755421353553,0.9563091383924714,high,0.07678596613429568
11,200,130,129.4605809128631,7.670223226229917,0.9563091383924714,high,0.04706594124074105
11,280,130,129.4605809128631,9.825419916270748,0.9563091383924714,high,0.06963155970792513
12,130,130,129.4605809128631,-2.712356923922243,0.9752415023248354,high,0.05094860218594072
12,200,130,129.4605809128631,-4.76523116200944,0.9752415023248354,high,0.04547085232377762
12,280,130,129.4605809128631,-2.583893723154264,0.9752415023248354,high,0.0491113776295422
13,130,130,129.4605809128631,1.4852512237465676,0.8184371984439709,low,0.04809587672267638
13,200,130,129.4605809128631,-2.9947161201311605,0.8184371984439709,low,0.04821892863911468
13,280,130,129.4605809128631,-0.5566763328844386,0.8184371984439709,low,0.055342320733349624
14,130,130,129.4605809128631,-2.481898968383153,0.8897738283165696,low,0.04905240956984829
14,200,130,129.4605809128631,2.693887337416085,0.8897738283165696,low,0.057692654622371706
14,280,130,129.4605809128631,4.681891288422918,0.8897738283165696,low,0.05637409295900135
15,130,130,129.4605809128631,1.31282635862825,0.9481134297800962,high,0.05797706669996987
15,200,130,129.4605809128631,0.5349629477898331,0.9481134297800962,high,0.06790493471423349
15,280,130,129.4605809128631,1.3120577327800174,0.9481134297800962,high,0.06231305376080522
16,130,130,129.4605809128631,0.5780949952471709,0.907325044236809,low,0.051764272448753125
16,200,130,129.4605809128631,-0.2568342412512059,0.907325044236809,low,0.04396598004461746
16,280,130,129.4605809128631,-1.0111035136966022,0.907325044236809,low,0.06296036784476808
18,130,130,129.4605809128631,-0.944202904656048,0.778067758470572,low,0.056846175207625436
18,200,130,129.4605809128631,0.788437270854962,0.778067758470572,low,0.04910719096853772
