,subject,accuracy,score_group
0,1,0.8968075913928594,low
1,2,0.8965774743832018,low
2,3,0.8042331161939004,low
3,4,0.9614234764094709,high
4,5,0.9125820922570147,low
5,6,0.9520805891639222,high
6,7,0.9157180383160772,low
7,8,0.9859718984718984,high
8,9,0.9233681568975683,high
9,10,0.9678164428164429,high
10,11,0.9563091383924714,high
11,12,0.9752415023248354,high
12,13,0.8184371984439709,low
13,14,0.8897738283165696,low
14,15,0.9481134297800962,high
15,16,0.907325044236809,low
16,17,0.8096005569886165,low
17,18,0.778067758470572,low
18,19,0.9595211297417175,high
19,20,0.93849890396459,high
20,21,0.903758227409113,low
21,22,0.9650264459578183,high
22,23,0.8232399494186772,low
23,24,0.868514173305195,low
24,25,0.934331025728084,high
25,26,0.9948753021669687,high
26,27,0.7645413139253437,low
27,28,0.834836883795217,low
28,29,0.940671543893938,high
29,30,0.9759319658764961,high
30,31,0.9293957757928349,high
31,32,0.8484948802105666,low
32,33,0.891142239205964,low
33,34,0.8317436394397177,low
34,35,0.9801101476591672,high
35,36,0.9772611448101641,high
36,37,0.8909957299418083,low
37,38,0.9742168896825758,high
38,39,0.9824880058213392,high
39,40,0.8815612927377633,low
40,41,0.9819865737022601,high
41,42,0.865416659411757,low
42,43,0.9839132934966268,high
43,44,0.9027533389478691,low
44,45,0.9794028348195015,high
